draft,type,num,date,day,topics,slides,readings,assignments,
y,,10,Mar-04,Thu,"* Cookies
* Sessions 
* NoSQL Database
","* Review form handling, middleware
* [Sessions and Cookies](slides/10/sessions.html)
* Exam in Just over a Week!
* [Introduction to Databases / Mongo DB](slides/14/mongo.html)
 
<!--
 
(???)
 Coding Demo
 
 * [creating middleware, sessions](examples/class10/middleware-sessions.zip)
 
-->","MDN / nczonline Articles

* [MDN on Cookies](https://developer.mozilla.org/en-US/docs/Web/HTTP/Cookies)
* nczonline articles on [Cookies](https://www.nczonline.net/blog/2009/05/05/http-cookies-explained/) and [Cookies and Security](https://www.nczonline.net/blog/2009/05/12/cookies-and-security/)

MongoDB Documentation

* [MongoDB Databases and Collections](https://docs.mongodb.com/manual/core/databases-and-collections/)
* [MongoDB Types](https://docs.mongodb.com/manual/core/documen://docs.mongodb.com/manual/reference/bson-types/)
* [MongoDB Query Documents](https://docs.mongodb.com/manual/tutorial/query-documents/)
* [MongoDB Create, Read, Update, Delete](https://docs.mongodb.com/manual/crud/)
* [MongoDB Insert](https://docs.mongodb.com/manual/tutorial/insert-documents/)","
__Due Monday 10/14 at 11pm__
 
* [Homework #4](homework/04.html)",
y,,11,Mar-09,Tue,* NoSQL Database Continued,"* [More Mongoose](slides/12/mongoose.html)
* NoSQL Injection Example

__Midterm Practice__
 
* [midterm practice questions](resources/handouts/midterm/midterm_1_practice.pdf)
* [midterm practice questions with solutions](resources/handouts/midterm/midterm_1_practice_solutions.pdf)
  
<!--

 * Example Data (from CSCI-UA.60)
 * [book fields](resources/data/books_fields.txt)
 * [books](resources/data/books.csv)
 * [wifi](resources/data/wifi3.json) (NYC Open Data)

-->","[{{ site.book_js_6 }}]({{ site.book_js_6_link }})

* [Node: Up and Running by Mike Wilson, Tom Hughes-Croucher, Part 2 Chapter 6 Data Access (NoSQL and Document Stores,  MongoDB,  mongoose)](https://www.oreilly.com/library/view/node-up-and/9781449332235/ch06.html#id3216759)

OWASP

* [OWASP NoSQL Injection](https://www.owasp.org/index.php/Testing_for_NoSQL_injection)

MongoDB Documentation 

* [MongoDB Data Modeling Intro](https://docs.mongodb.com/manual/core/data-modeling-introduction/)
* [MongoDB Data Model Design](https://docs.mongodb.com/v3.2/core/data-model-design/)
* [MongoDB Embedded](https://docs.mongodb.com/manual/tutorial/model-embedded-one-to-many-relationships-between-documents/#data-modeling-example-one-to-many)
* [MongoDB Document References](https://docs.mongodb.com/manual/tutorial/model-referenced-one-to-many-relationships-between-documents/#data-modeling-publisher-and-books)
* [MongoDB Modeling Relationships / Examples](https://docs.mongodb.com/v3.2/applications/data-models-relationships/)
* [Mongoose Embedded Documents - Sub Docs](http://mongoosejs.com/docs/subdocs.html) 
* [Mongoose Document References - Mongoose Population](http://mongoosejs.com/docs/populate.html) 
* [MDN TLS](https://developer.mozilla.org/en-US/docs/Web/Security/Transport_Layer_Security)","<!--
__Due Monday 10/19 at 11pm__
 
* [Homework #5](homework/05.html)


 __Due Wednesday 10/16 at 11pm__ 

 * hw 6 – saving to db (short!)
 * [Homework #05](homework/05.html) 
-->",
y,,12,Mar-11,Thu,"* Object Document Mapper Continued
* URL Parameters
* Validation","
* MongoDB, Mongoose from Previous Classes
* [Router Objects](slides/14/routers.html)
* [URL Parameters](slides/14/params.html)
* [Validation](slides/15/validation.html)

","* [Express Routing - Route Parameters](https://expressjs.com/en/guide/routing.html)
* [Mongoose - Validation](https://mongoosejs.com/docs/validation.html)",,
y,,13,Mar-16,Tue,* Review,"* Exam Review: format, sample assignment",,,
y,exam,14,Mar-18,Thu,EXAM #1,"
",,"__Due Wednesday April 1st__

* [Final Project Miletsone #01](final-project.html#milestone1)
* [Homework #06](homework/06.html) ",
y,,15,Mar-23,Tue,"
* Authentication
* Final Project / Deployment
","
* [Final Project](final-project.html)
* Review MongoDB and Mongoose
* [Authentication](slides/16/auth.html)
* [High-Level Description of SSL/TLS](slides/16/ssl.html)","Programming JavaScript Applications by Eric Elliott 

* [Chapter 6 Access Control (Authentication)](https://www.oreilly.com/library/view/programming-javascript-applications/9781491950289/ch06.html#passwords)

Various Online Articles on Authentication

* [OWASP - Authentication Cheat Sheet](https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html)
* [NIST – Recommendation for Password-Based Key Derivation](http://csrc.nist.gov/publications/nistpubs/800-132/nist-sp800-132.pdf)
* [How to securely hash passwords](http://security.stackexchange.com/questions/211/how-to-securely-hash-passwords)
* [Salted Password Hashing - Doing it Right](https://crackstation.net/hashing-security.htm)

Using Passport JS

* [PassportJS Documentation](http://passportjs.org/docs)
* [From passport-local-mongoose](https://github.com/saintedlama/passport-local-mongoose/tree/master/examples/login)
* [From mherman.org](http://mherman.org/blog/2015/01/31/local-authentication-with-passport-and-express-4/#.VjGSOq6rSRs)
* [From scotch.io](http://scotch.io/tutorials/javascript/easy-node-authentication-setup-and-local)","__Due Monday 11/02 at 11pm__
 
* [Homework #5](homework/05.html)
* [Final Project Milestone #01](final-project.html#milestone1)

<!--__Due Monday 10/28 at 11pm:__
 
* hw 7 – authentication

* Quiz 4 and 5: Auth and Sessions/Cookies, HTML and CSS (to be posted)
-->",
y,,16,Mar-25,Thu,"* HTML Primer
* Accessibility on the Web
* JavaScript and the Browser
* The Document Object Model
* Manipulating Elements","
* [HTML Primer, JavaScript and the Browser](slides/17/javascript-browser.html)
 * [The Document Object Model](slides/17/dom.html)
 * [DOM Continued sample markup](code/dom-continued.html)
 * [Attributes](slides/17/attributes.html)
 * [Modifying and Adding Elements](slides/18/modifying-creating.html)
 * [Some Sample Markup](code/class18.html)
 * [Layout and Style](slides/19/layout-style.html)
","{{ site.book_js_5 }}

* [Chapter 13 - JavaScript and the Browser](http://eloquentjavascript.net/13_browser.html)
* [Chapter 14 - The Document Object Model](http://eloquentjavascript.net/14_dom.html)

HTML Tutorials

* [MDN - Introduction to the DOM](https://developer.mozilla.org/en-US/docs/Web/API/Document_Object_Model/Introduction)
* [MDN - Introduction to HTML](https://developer.mozilla.org/en-US/docs/Learn/HTML/Introduction_to_HTML)
* [MDN - Accessibility](https://developer.mozilla.org/en-US/docs/Web/Accessibility)
* [HTML and CSS from shayhowe.com](http://learn.shayhowe.com/html-css/getting-to-know-html/)
",,
y,,17,Mar-30,Tue,* CSS,"* [JavaScript Timers](slides/19/timers.html)
* [CSS](slides/19/css.html)
* (Optional / Briefly) Flexbox
* (Optional / Briefly) Grids
","

* [HTML and CSS from shayhowe.com](http://learn.shayhowe.com/html-css/getting-to-know-html/)
* [MDN - Introduction to CSS](https://developer.mozilla.org/en-US/docs/Learn/CSS/Introduction_to_CSS#Guides)","Due Monday MORNING __11/9, by 11am before class__ 
 
 * Quiz #7 and #8
 * will remain open until Dec 7th if you need to focus on deployment


 Due Monday EVENING __11/9 at 11pm:__

 * [Final Project Milestone #02](final-project.html#milestone2)

",
y,,18,Apr-01,Thu,"* CSS Continued
* Events / Timers","* [Selectors, JS and CSS](slides/19/js-css.html)
* [Events](slides/19/events.html)

","{{ site.book_js_5 }} 

* [Chapter 15 Events](http://eloquentjavascript.net/15_event.html)
","<!--

  __Due Monday 11/11 at 11pm:__
* hw 8 – frontend
* Final Project Milestone #03](final-project.html#milestone03)

--->",
y,,19,Apr-06,Tue,"* AJAX
* Same Origin Policy
* Cross Site Scripting
* Working with APIs","* Events / Timers Review
* [Ajax Part 1](slides/20/ajax.html)","Programming JavaScript Applications by Eric Elliott

* [Chapter 8 Building Restful APIs](https://www.oreilly.com/library/view/programming-javascript-applications/9781491950289/ch08.html)

MDN Articles on AJAX

* [MDN - AJAX Getting Started](https://developer.mozilla.org/en-US/docs/Web/Guide/AJAX/Getting_Started)
* [MDN - Same Origin Policy](https://developer.mozilla.org/en-US/docs/Web/Security/Same-origin_policy)
* [MDN - Cross Site Scripting](https://developer.mozilla.org/en-US/docs/Glossary/Cross-site_scripting)

OWASP

* [OWASP - Cross Site Scripting](https://www.owasp.org/index.php/Cross-site_Scripting_(XSS))","
  __Due Monday 11/16 at 11pm:__

* [Homework #06](homework/06.html) 
* [Final Project Milestone #03](final-project.html#milestone03)

<!--
__Due 4/13 at 11am__

* Quizzes 7 and 8 on NYU Classes

* Quizzes posted on NYU Classes
-->

<!--
__Due Wednesday 11/13 at 11pm:__

  
 * [Homework #6](homework/06.html)
-->

",m1 due
y,,20,Apr-08,Thu,"* AJAX Continued
* Polling
* Promises","* [Ajax Part 2](slides/21/ajax-express.html)
* [Promises](slides/21/promises.html)
* AJAX Polling
* [Example Code for AJAX Polling / Chat](code/chat.zip)
","{{ site.book_js_5 }} 

* [Chapter 11 Asynchronous Programming (Promises)](http://eloquentjavascript.net/11_async.html#h_sdRy5CTAP/_)

{{ site.book_js_2 }} 

* [Chapters 25 Promises for asynchronous programming](https://exploringjs.com/es6/ch_promises.html)

MDN

* [MDN - Promises](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise)","<!--
__Due Monday 4/20 at 11pm:__
 
* [Homework #7](homework/07.html)

__Due Tuesday 4/21 at 11pm:__

* [Final Project Milestone #03](final-project.html#milestone03)
-->",
y,,21,Apr-13,Tue,"* Promises Continued
* fetch 
* async / await","* Example Code for AJAX and Promises
* [app.js](examples/ajax-promises/app.js)
* [package.json](examples/ajax-promises/package.json)
* [public/index.html](examples/ajax-promises/public/index.html)
* [public/js/main.js](examples/ajax-promises/public/js/main.js)","{{ site.book_js_5 }} 

* Eloquent JavaScript 3rd Edition by Marijn Haverbeke, Chapter 11 Asynchronous Programming (Async Functions)

MDN Articles

* [MDN - Using Fetch](https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API/Using_Fetch)
* [MDN - Async Await](https://developer.mozilla.org/en-US/docs/Learn/JavaScript/Asynchronous/Async_await)","
__Due Monday 11/23 at 11pm:__
 
 * [Homework #7](homework/07.html)

__Due Monday 11/30 at 11pm:__

 * [Final Project Milestone #04](final-project.html#milestone04)

<!--

__Due Tuesday 04/28 at 11pm:__

 * [Final Project Milestone #04](final-project.html#milestone04)




__Due Monday 4/24 at 11pm:__ 
HW 8 AJAX
 
 * [Homework #9](homework/09.html)

-->",m2 due
y,,22,Apr-15,Thu,* Realtime Web Applications,"* Revisit Polling
* [Websockets and socket.io](slides/23/socketio.html)
* In-Class Workshop Tomorrow
* [Rooms](slides/25/socketio-rooms.html)
* Websockets and socket.io Examples
* [app.js](examples/websockets-demo/app.js) (server)
* [public/main.js](examples/websockets-demo/public/main.js) (client)
* [public/index.html](examples/websockets-demo/public/index.html) (client)","* Node: Up and Running by Mike Wilson, Tom Hughes-Croucher, Part 2 Chapter 7 Important External Modules (Socket.IO)
* [Socket.IO Overview](https://socket.io/docs/)

","
<!-- Reminder, __Final Project Due 11/25__ at 11pm -->
 

",
y,,23,Apr-20,Tue,* Realtime Web Applications Continued,* See lab instructions,See previous class,"Due __today__ while you're in class:
 
 * [Socket.IO Lab](homework/socket-io-lab.html)
 * [Form to submit](https://forms.gle/ejC5HyQiz9FJvxy68)",m3 due
y,,24,Apr-22,Thu,"

* Frontend Framework","* [React Basics](slides/26/react.html)
* Final Exam Reminder
* [React Revisited](slides/26/react-state-parent.html)
* Example Code: [index.js / Sum of Counters, Text Input](examples/react/demo/src/index.js) (Parent and Child Components, Text Input)
* Example with React and fetch
* [index.js](examples/react-parents/demo/src/index.js) (React)
* [app.js](examples/react-parents/api/app.js) (Express API)
* [db.js](examples/react-parents/api/db.js) (Mongoose Schema)
 
<!--React review, multiple child clickers and forms
* [React and Express / Using Webpack](slides/26/react-webpack-continued.html)
 * React lab demo
-->","* [React Hello World](https://facebook.github.io/react/docs/hello-world.html) and [React Official Tutorial](https://facebook.github.io/react/tutorial/tutorial.html)
* [Build With React](http://buildwithreact.com/)
* [React Events](https://facebook.github.io/react/docs/events.html#supported-events)
* [React Using create-react-app](https://github.com/facebookincubator/create-react-app/blob/master/README.md#getting-started)",,
y,,25,Apr-27,Tue,* Frontend Framework Continued,* See slides from previous class,"

Practice Questions
 
 * [Practice Questions](resources/handouts/final/final_exam_practice.pdf)
 * [Practice Questions Solutions](resources/handouts/final/final_exam_practice_solutions.pdf)
 * [Practice Questions Set 2](resources/handouts/final/final_exam_practice_2.pdf)
 * [Practice Questions Set 2 Solutions](resources/handouts/final/final_exam_practice_2_solutions.pdf)","<!--
__Due Sunday 5/3 at 11pm:__ 
 
 * [Homework #8](homework/08.html)
-->",
y,,26,Apr-29,Thu,"* Frontend Framework Continued

<!--
* Build tools 
* Integration of all technologies
-->","* See lab instructions

<!--
* (Optional) [React and Express / Using Webpack](slides/26/react-webpack-continued.html)
-->",,"Due __today__ (12/2) while you're in class:

 * [React Lab](homework/react-lab.html)",
y,,27,May-04,Tue,* Review,,,,
y,exam,28,May-06,Thu,EXAM #2,,,,
